,member_casual,station_name,station_lng,station_lat,station_rides
1245,casual,Augusta Blvd & Laramie Ave,-87.76,41.9,631
1246,casual,Princeton Ave & 47th St,-87.633449288,41.80931770924,629
1247,member,Central Park Ave & Ohio St,-87.72,41.89,626
1248,casual,Western Ave & Lake St,-87.69,41.88,624
1249,casual,Millard Ave & 26th St,-87.71592199802399,41.84453112462163,623
1250,casual,Kedzie Ave & Roosevelt Rd,-87.7064961757,41.86649278172,621
1251,member,Western Ave & 79th St,-87.68,41.75,612
1252,member,Pulaski Rd & 51st St,-87.72,41.8,612
1253,member,Western Ave & Jarvis Ave,-87.69,42.02,610
1254,casual,Kedzie Ave & 21st St,-87.7050730318,41.85353363213,610
1255,casual,Dodge Ave & Mulford St,-87.699645,42.023713,609
1256,casual,Midway Orange Line,-87.74,41.79,608
1257,casual,Dodge Ave & Main St,-87.69918769598006,42.03463185161588,607
1258,member,Archer (Damen) Ave & 37th St,-87.683144,41.826712,606
1259,casual,South Shore Dr & 74th St,-87.55923533333333,41.7622205,606
1260,casual,Washtenaw Ave & Madison St,-87.69,41.88,605
1261,casual,MLK Jr Dr & 63rd St,-87.6159415,41.780032,596
1262,casual,Stony Island Ave & 64th St,-87.586647,41.778881,595
1263,member,Base - 2132 W Hubbard Warehouse,-87.680251,41.889973833333336,594
1264,member,Maplewood Ave & Peterson Ave,-87.69337,41.990236,591
1265,member,Dodge Ave & Main St,-87.69918769598006,42.03463185161588,590
1266,casual,Nordica & Medill,-87.8,41.92,590
1267,casual,Stony Island Ave & 67th St,-87.5853397391,41.77345849948,585
1268,member,Austin Blvd & Lake St,-87.774446,41.8878915,584
1269,casual,Western Blvd & 49th St,-87.68,41.8,582
1270,member,Dodge Ave & Mulford St,-87.699645,42.023713,581
1271,member,Nordica & Medill,-87.8,41.92,577
1272,casual,Spaulding Ave & 63rd St,-87.71,41.78,575
1273,casual,Burnham Greenway & 112th St,-87.53043115139008,41.69177385116831,575
1274,member,Narragansett & McLean,-87.79,41.92,574
1275,member,Prairie Ave & 43rd St,-87.6194124619,41.81665889302,572
1276,casual,Lincolnwood Dr & Central St,-87.7153275,42.06472383333333,571
1277,member,Western Ave & Lake St,-87.69,41.88,570
1278,casual,N Narragansett Ave & Grand Ave,-87.79,41.92,570
1279,member,Leamington Ave & Hirsch St,-87.75,41.91,567
1280,casual,Ridge Blvd & Howard St,-87.68460283333333,42.0193035,566
1281,casual,Lamon Ave & Armitage Ave,-87.75,41.92,566
1282,member,Wolcott Ave & Fargo Ave,-87.677725,42.016977,563
1283,member,Ingleside Ave & 79th St,-87.6,41.75,558
1284,member,MLK Jr Dr & 63rd St,-87.6159415,41.780032,555
1285,member,Public Rack - Langley Ave & 49th St,-87.61,41.8,553
1286,member,Halsted St & 111th St,-87.64,41.69,552
1287,casual,Stony Is Ave & 73rd St,-87.59,41.76,551
1288,casual,Western Blvd & 48th Pl,-87.683392,41.805661,550
1289,casual,Harlem & Irving Park,-87.81,41.95,549
1290,casual,Indiana Ave & 40th St,-87.62141583333333,41.82167266666666,548
1291,casual,Menard Ave & Division St,-87.77,41.9,548
1292,member,Perry Ave & 108th Pl,-87.63,41.7,547
1293,casual,Keeler Ave & Roosevelt Rd,-87.73,41.87,545
1294,member,Prairie Ave & 47th St - midblock,-87.62,41.81,544
1295,casual,California Ave & 23rd Pl,-87.6951398068,41.84910969176,542
1296,casual,Archer (Damen) Ave & 37th St,-87.683144,41.826712,539
1297,casual,Kostner Ave & 63rd St,-87.73,41.78,535
1298,member,N Narragansett Ave & Grand Ave,-87.79,41.92,534
1299,casual,Damen Ave & 47th St,-87.68,41.81,533
1300,casual,Kildare Ave & Chicago Ave,-87.73,41.9,531
1301,member,California & 16th St,-87.7,41.86,523
1302,casual,Hoyne Ave & 34th St,-87.68,41.83,522
1303,casual,Morgan St & 87th St,-87.65,41.74,520
1304,casual,532 E 43rd St,-87.61,41.82,519
1305,casual,Sangamon St & Lake St,-87.651106,41.88583083333333,518
1306,member,Pulaski Rd & 21st St,-87.72,41.85,516
1307,member,Lafayette Ave & 87th St - NW,-87.63,41.74,516
1308,member,Langley Ave & 79th St,-87.61,41.75,516
1309,member,McVicker Ave & Grand Ave,-87.78,41.92,512
1310,member,Public Rack - King Dr & Oakwood Blvd,-87.62,41.82,511
1311,casual,Kilpatrick Ave & Parker Ave,-87.74,41.93,511
1312,member,Parnell Ave & 119th St,-87.63,41.68,510
1313,member,Union Ave & Root St,-87.643278,41.819102,509
1314,member,Dorchester Ave & 63rd St,-87.5914159893,41.7804056457,509
1315,member,Rockwell Ave & Touhy Ave ,-87.7,42.01,509
1316,member,McCormick Blvd & Devon Ave,-87.71,42.0,508
1317,member,Washtenaw Ave & Madison St,-87.69,41.88,505
1318,casual,Sacramento Blvd & Addison St,-87.7,41.95,505
1319,casual,Calumet Park,-87.53084421157837,41.71370983035615,504
1320,casual,Jeffery Blvd & 71st St,-87.5764501141,41.76663823695,501
1321,casual,Campbell Ave & 51st St,-87.69,41.8,501
1322,casual,MLK Jr Dr & 56th St,-87.615853,41.793429,501
1323,casual,Ingleside Ave & 79th St,-87.6,41.75,497
1324,casual,Kilbourn Ave & Irving Park Rd,-87.740569,41.953733,496
1325,casual,Damen Ave & Pershing Rd,-87.676597,41.823192,494
1326,casual,Calumet Ave & 71st St,-87.62,41.77,494
1327,casual,Ada St & 79th St,-87.66,41.75,493
1328,casual,Wolcott Ave & Fargo Ave,-87.677725,42.016977,492
1329,casual,McVicker Ave & Grand Ave,-87.78,41.92,492
1330,member,Sangamon St & Lake St,-87.651106,41.88583083333333,490
1331,casual,Hoyne Ave & 47th St,-87.67718,41.808227,488
1332,member,Damen Ave & Pershing Rd,-87.676597,41.823192,487
1333,member,Kilpatrick Ave & Parker Ave,-87.74,41.93,487
1334,casual,Walden Pkwy & 100th St,-87.66774283333334,41.712200333333335,486
1335,member,Brandon Ave & 91st St,-87.55,41.73,485
1336,casual,Kildare Ave & 55th St,-87.73,41.79,481
1337,casual,Halsted St & 47th Pl,-87.645629,41.80820916666666,479
1338,casual,Hale Ave & 107th St,-87.6689025,41.69906816666666,474
1339,casual,Kedzie Ave & 61st Pl,-87.7,41.78,473
1340,casual,Princeton Ave & Garfield Blvd,-87.633124,41.794982,468
1341,casual,Cottage Grove Ave & 67th St,-87.605635,41.773721,468
1342,member,California Ave & Touhy Ave - NW,-87.7,42.01,467
1343,member,Stony Is Ave & 73rd St,-87.59,41.76,467
1344,casual,Western Ave & 111th St,-87.68129736185074,41.691211034981045,465
1345,casual,Sheridan Rd & Argyle St,-87.65475958585739,41.97328682025979,464
1346,member,Kilbourn Ave & Irving Park Rd,-87.740569,41.953733,464
1347,casual,Chicago State University,-87.6082695,41.7189895,463
1348,member,Sheridan Rd & Argyle St,-87.65475958585739,41.97328682025979,463
1349,casual,Lawndale Ave & 111th St,-87.71,41.69,461
1350,member,Ashland Ave & 45th St,-87.66,41.81,459
1351,member,Indiana Ave & 40th St,-87.62141583333333,41.82167266666666,459
1352,member,Oketo Ave & Addison St,-87.81,41.94,458
1353,casual,Calumet Ave & Garfield Blvd,-87.62,41.79,456
1354,casual,Fairfield Ave & 44th St,-87.69,41.81,454
1355,member,Lafayette Ave & 95th St,-87.62,41.72,450
1356,casual,Hamilton Ave & 95th St,-87.68,41.72,450
1357,casual,Central Park Ave & Douglas Blvd,-87.72,41.86,449
1358,casual,Tripp Ave & 31st St,-87.73,41.84,448
1359,casual,Kilbourn Ave & Milwaukee Ave,-87.74000823497772,41.94707089418471,448
1360,casual,Bell Ave & 95th St,-87.68,41.72,448
1361,member,Cottage Grove Ave & 87th St,-87.61,41.74,446
1362,casual,Eggleston Ave & 92nd St,-87.63,41.73,446
1363,casual,East End Ave & 87th St,-87.58,41.74,446
1364,casual,Francisco Ave & Hollywood Ave,-87.7,41.98,446
1365,member,Princeton Ave & 43rd St,-87.63,41.82,445
1366,member,Sacramento Blvd & Franklin Blvd,-87.70260751247406,41.89046879243862,443
1367,casual,Western Ave & Jarvis Ave,-87.69,42.02,441
1368,member,Ashland Ave & McDowell Ave,-87.66449283333333,41.808867166666666,440
1369,member,State St & Pershing Rd,-87.626579,41.82305466666666,439
1370,member,Cottage Grove Ave & 98th St,-87.6,41.72,436
1371,casual,Stony Island Ave & 75th St,-87.586882871,41.7586696704,435
1372,casual,Lawndale Ave & Polk St,-87.72,41.87,433
1373,member,Meade Ave & Addison St,-87.78,41.95,424
1374,casual,N Shore Channel Trail & Argyle St,-87.7,41.97,423
1375,casual,Sacramento Blvd & Fulton Ave,-87.7,41.89,422
1376,member,Houston Ave & 91st St,-87.55,41.73,422
1377,casual,Cornell Dr & Hayes Dr,-87.584846,41.780595,421
1378,member,MLK Jr Dr & 47th St,-87.61633966666666,41.809877666666665,418
1379,member,Pulaski Rd & Eddy St (Temp),-87.731023,41.946264,418
1380,casual,Komensky Ave & 31st St,-87.73,41.84,417
1381,member,Public Rack - Lamon Ave & Erie St,-87.75,41.89,416
1382,casual,Springfield Ave & 47th St,-87.72,41.81,415
1383,casual,Phillips Ave & 79th St,-87.565211,41.75182,414
1384,casual,Public Rack - Kingston Ave & 75th St,-87.56,41.76,409
1385,casual,Rainbow Beach,-87.54938625,41.75787144829,409
1386,member,Hoyne Ave & 34th St,-87.68,41.83,408
1387,casual,W 103rd St & S Avers Ave,-87.72,41.71,406
1388,casual,Austin Blvd & Madison St,-87.77443483333333,41.88026766666667,404
1389,casual,Langley Ave & 79th St,-87.61,41.75,403
1390,casual,Albany Ave & 63rd St,-87.7,41.78,402
1391,member,Racine Ave & 109th Pl,-87.65,41.69,400
1392,member,Colfax Ave & 83rd St,-87.56,41.74,399
1393,casual,Lawler Ave & 50th St,-87.75,41.8,398
1394,casual,Kildare Ave & 47th St,-87.73,41.81,396
1395,member,South Shore Dr & 74th St,-87.55923533333333,41.7622205,396
1396,casual,Albany Ave & 26th St,-87.7020130128,41.84447501366,395
1397,member,Stony Island Ave & 64th St,-87.586647,41.778881,395
1398,casual,Ashland Ave & McDowell Ave,-87.66449283333333,41.808867166666666,393
1399,casual,Burnham Greenway & 105th St,-87.52823173999786,41.7045750872071,393
1400,casual,Kenneth Ave & 50th St,-87.73,41.8,392
1401,casual,Park Manor Elementary School,-87.61,41.77,391
1402,member,Exchange Ave & 79th St,-87.552812,41.751731,390
1403,member,Waller Ave & Chicago Ave,-87.77,41.89,390
1404,casual,Kedzie Ave & 57th St,-87.7,41.79,389
1405,casual,Cottage Grove Ave & 87th St,-87.61,41.74,389
1406,casual,Public Rack - Lamon Ave & Erie St,-87.75,41.89,388
1407,member,Princeton Ave & 47th St,-87.633449288,41.80931770924,388
1408,casual,Public Rack - Exchange Ave & 73rd Pl,-87.56,41.76,386
